	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché	identifiant
29	der Verwalter, -	le régisseur	True	Agriculture	00	0	der Verwalter	True	Verwalter	0029
30	der Hinterwäldier, -	le campagnard	True	Agriculture	00	0	der Hinterwäldier	True	Hinterwäldier	0030
31	der Kuhbauer, n (pej)	le bouseux	True	Agriculture	00	0	der Kuhbauer	True	Kuhbauer	0031
32	der Bauerntölpel, -, der ungshobelte Mensch, en, en	le cul-terreux, le plouc/ le péquenaud	True	Agriculture	00	0	der Bauerntölpel	True	Bauerntölpel	0032
33	bäurisch	rustre, grossier, paysan/ campagnard	True	Agriculture	00	0		False		0033
34	der landwirtschaftliche Betrieb, e	l'exploitation agricole	True	Agriculture	00	0		False		0034
35	"der Bauernhof, ""e |"	la ferme	True	Agriculture	00	0	der Bauernhof	True	Bauernhof	0035
36	der Pachthof |	la métairie	True	Agriculture	00	0	der Pachthof	True	Pachthof	0036
37	"das Gut, ""er"	le domaine	True	Agriculture	00	0	das Gut	True	Gut	0037
38	ein Gut bewirtschaften	exploiter un domaine	True	Agriculture	00	0		False		0038
39	die Nebengebäude no/ |	les dépendances ;	True	Agriculture	00	0		False		0039
40	der/das Futtersilo, s	le silo à fourrage	True	Agriculture	00	0	der Futtersilo	True	Futtersilo	0040
41	das Silofutter	le fourrage ensilé	True	Agriculture	00	0	das Silofutter	True	Silofutter	0041
42	die Einlagerung in Silos, die Silage	l’ensilage	True	Agriculture	00	0		False		0042
43	in Silos ein-lagern, silieren	ensiler	True	Agriculture	00	0		False		0043
44	die Scheune, n	la grange	True	Agriculture	00	0	die Scheune	True	Scheune	0044
45	die Tenne, n	l’aire	True	Agriculture	00	0	die Tenne	True	Tenne	0045
0	der Heuboden	le grenier à foin, le fenil	True	Agriculture	00	1	der Heuboden	True	Heuboden	0046
1	der Schuppen	le hanga, la remise	True	Agriculture	00	1	der Schuppen	True	Schuppen	0047
2	die Tierzucht	e la production animale, l'élevage	True	Agriculture	00	1	die Tierzucht	True	Tierzucht	0048
3	der Viehzüchter, -	l’éleveur de hétail	True	Agriculture	00	1	der Viehzüchter	True	Viehzüchter	0049
4	"der Tierarzt, ""e"	le vétérinaire	True	Agriculture	00	1	der Tierarzt	True	Tierarzt	0050
5	die Tierpflege	les soins des animaux	True	Agriculture	00	1	die Tierpflege	True	Tierpflege	0051
6	die Hormonbehandlung, en	le traitement hormonal	True	Agriculture	00	1	die Hormonbehandlung	True	Hormonbehandlung	0052
7	die Maul- und Klauenseuche	la fièvre aphteuse	True	Agriculture	00	1		False		0053
8	der Rinderwahnsinn (BSE)	la maladie de la vache folle (ESB)	True	Agriculture	00	1	der Rinderwahnsinn	True	Rinderwahnsinn	0054
9	die Schweinepest	la peste porcine	True	Agriculture	00	1	die Schweinepest	True	Schweinepest	0055
10	die Schafseuche Scrapie	la tremblante du mouton	True	Agriculture	00	1	die Schafseuche	True	Schafseuche	0056
11	die Notschlachtung, en	l'abattage forcé, d'urgence	True	Agriculture	00	1	die Notschlachtung	True	Notschlachtung	0057
12	Viehzucht betreiben, ie, ie, Vieh züchten	faire de l'élevage, pratiquer l'élevage	True	Agriculture	00	1		False		0058
13	das Zuchttier, e	l'animal reproducteur	True	Agriculture	00	1	das Zuchttier	True	Zuchttier	0059
14	ein Tier zur Zucht benutzen	utiliser un animal pour la reproduction	True	Agriculture	00	1		False		0060
15	eine Rasse veredeln	améliorer une race	True	Agriculture	00	1		False		0061
16	aus einer Kreuzung hervor-gehen*, , a	être issu d'un croisement	True	Agriculture	00	1		False		0062
17	(künstlich) besamen	inséminer tr	True	Agriculture	00	1		False		0063
18	die (künstliche) Besamung, en	l’insémination	True	Agriculture	00	1	die (künstliche)	True	(künstliche)	0064
19	der Samen, -	le sperme	True	Agriculture	00	1	der Samen	True	Samen	0065
20	brünstig sein	être en chaleur	True	Agriculture	00	1		False		0066
21	paaren	accoupler	True	Agriculture	00	1		False		0067
22	das Decken	la saillie	True	Agriculture	00	1	das Decken	True	Decken	0068
23	begatten/decken	monter {une femelle)	True	Agriculture	00	1		False		0069
24	ein trächtiges Weibchen	une femelle pleine/grosse	True	Agriculture	00	1		False		0070
25	die Trächtigkeit(sdauer)	la gestation	True	Agriculture	00	1	die Trächtigkeit(sdauer)	True	Trächtigkeit(sdauer)	0071
26	werfen, a, o, i/gebären, a, o	mettre bas/mettre au monde	True	Agriculture	00	1		False		0072
27	"der Wurf, ""@"	la parturition ; la portée	True	Agriculture	00	1	der Wurf	True	Wurf	0073
28	das Vieh	le bétail, les bestiaux	True	Agriculture	00	1	das Vieh	True	Vieh	0074
29	die Viehzucht	l'élevage	True	Agriculture	00	1	die Viehzucht	True	Viehzucht	0075
30	"der Viehbestand, ""e"	le cheptel	True	Agriculture	00	1	der Viehbestand	True	Viehbestand	0076
31	das lebende Vieh	le bétail sur pied	True	Agriculture	00	1		False		0077
32	das Großvieh	le gros bétail	True	Agriculture	00	1	das Großvieh	True	Großvieh	0078
33	das Kleinvieh	le petit/menu bétail	True	Agriculture	00	1	das Kleinvieh	True	Kleinvieh	0079
34	das Mastvieh	le bétail d’embouche, les animaux à l'engrais	True	Agriculture	00	1	das Mastvieh	True	Mastvieh	0080
35	der Mastbetrieb, &	l'entreprise r d’engraissemer	True	Agriculture	00	1	der Mastbetrieb	True	Mastbetrieb	0081
36	mästen	engraisser	True	Agriculture	00	1		False		0082
37	das Mästen	lengraissement	True	Agriculture	00	1	das Mästen	True	Mästen	0083
38	die Fleischmast	l’engraissement pour la production de viande	True	Agriculture	00	1	die Fleischmast	True	Fleischmast	0084
39	das Stallvieh	le bétail en stabulation	True	Agriculture	00	1	das Stallvieh	True	Stallvieh	0085
40	die Massentierhaltung, die Batteriehaltung	l'élevage en batterie	True	Agriculture	00	1	die Massentierhaltung	True	Massentierhaltung	0086
41	die Mastbox, en	le box d'engraissement	True	Agriculture	00	1	die Mastbox	True	Mastbox	0087
42	"der Stall, ""e"	l'étable	True	Agriculture	00	1	der Stall	True	Stall	0088
43	"der Anbindestall, ""e"	l'étable entravée	True	Agriculture	00	1	der Anbindestall	True	Anbindestall	0089
44	die Futtermittel npr	les aliments pour le bétail	True	Agriculture	00	1	die Futtermittel	True	Futtermittel	0090
45	der Futterbedarf	les besoins fourragers	True	Agriculture	00	1	der Futterbedarf	True	Futterbedarf	0091
46	der Futtervorrat	les provisions fourragères	True	Agriculture	00	1	der Futtervorrat	True	Futtervorrat	0092
47	das Futter	le fourrage	True	Agriculture	00	1	das Futter	True	Futter	0093
48	der Futterkuchen	le tourteau	True	Agriculture	00	1	der Futterkuchen	True	Futterkuchen	0094
0	das Fertigfutter	Jes aliments composés	True	Agriculture	01	0	das Fertigfutter	True	Fertigfutter	0095
1	das Kraftfutter	les aliments concentrés	True	Agriculture	01	0	das Kraftfutter	True	Kraftfutter	0096
2	das Tierkörpermehl	Ja farine animale	True	Agriculture	01	0	das Tierkörpermehl	True	Tierkörpermehl	0097
3	das Grünfutter	le fourrage vert	True	Agriculture	01	0	das Grünfutter	True	Grünfutter	0098
4	das Futterstroh	la paille fourragère	True	Agriculture	01	0	das Futterstroh	True	Futterstroh	0099
5	die Rinderzucht	l'élevage des bovins	True	Agriculture	01	0	die Rinderzucht	True	Rinderzucht	0100
6	"der Rindviehstall, der Kuhstall, ""e"	l'étable	True	Agriculture	01	0	der Rindviehstall	True	Rindviehstall	0101
7	der Zuchtbulle, n, n	le taureau étalon	True	Agriculture	01	0	der Zuchtbulle	True	Zuchtbulle	0102
8	die Kuh decken lassen, ie, a, ä	faire couvrir la vache	True	Agriculture	01	0		False		0103
9	kalben	vêler	True	Agriculture	01	0		False		0104
10	die Milchkuh	la vache laitière	True	Agriculture	01	0	die Milchkuh	True	Milchkuh	0105
11	"das Milchkalb, ""er"	le veau élevé sous la mère	True	Agriculture	01	0	das Milchkalb	True	Milchkalb	0106
12	das Absetzkalb	le veau sevré	True	Agriculture	01	0	das Absetzkalb	True	Absetzkalb	0107
13	das Mastkalb	le veau d'embouche, le broutard	True	Agriculture	01	0	das Mastkalb	True	Mastkalb	0108
14	das Batteriekalb	le veau de batterie	True	Agriculture	01	0	das Batteriekalb	True	Batteriekalb	0109
15	die Automatenfütterung	l'alimentation automatisée	True	Agriculture	01	0	die Automatenfütterung	True	Automatenfütterung	0110
16	die Futterkrippe, n	la mangeoire	True	Agriculture	01	0	die Futterkrippe	True	Futterkrippe	0111
17	die Tränke, n	l'abreuvoir	True	Agriculture	01	0	die Tränke	True	Tränke	0112
18	die Streu	la litière	True	Agriculture	01	0	die Streu	True	Streu	0113
19	der Kuhfladen, -	la bouse de vache	True	Agriculture	01	0	der Kuhfladen	True	Kuhfladen	0114
20	das Vieh füttern	donner à manger au bétail	True	Agriculture	01	0	das Vieh	True	Vieh	0115
21	saufen, 0, o, äu	boire, s'abreuver	True	Agriculture	01	0		False		0116
22	die Kühe tränken	abreuver les vaches	True	Agriculture	01	0	die Kühe	True	Kühe	0117
23	fressen, a, e, |; Heu fressen	manger ; manger du foin	True	Agriculture	01	0		False		0118
24	das Vieh auf die Weide treiben, ie, ie	mettre le bétail au pâturage	True	Agriculture	01	0		False		0119
25	auf der Wiese weiden	paître/pâturer dans le pré	True	Agriculture	01	0		False		0120
26	das Gras ab-weiden	brouter l'herbe	True	Agriculture	01	0	das Gras	True	Gras	0121
27	die Wandertierhaltung	la transhumance	True	Agriculture	01	0	die Wandertierhaltung	True	Wandertierhaltung	0122
28	das Weiderecht/Triftrecht	le droit de pacage/de vaine pâture	True	Agriculture	01	0	"das Weiderecht
das"	True	"Weiderecht
das"	0123
29	das Durchgangsrecht	le droit de passage du bétail	True	Agriculture	01	0	das Durchgangsrecht	True	Durchgangsrecht	0124
30	die Milcherzeugung	la production de lait	True	Agriculture	01	0	die Milcherzeugung	True	Milcherzeugung	0125
31	melken, o, o/faible	traire	True	Agriculture	01	0		False		0126
32	"der Melkraum, ""@"	la salle de traite	True	Agriculture	01	0	der Melkraum	True	Melkraum	0127
33	das Maschinenmelken	la traite mécanique	True	Agriculture	01	0	das Maschinenmelken	True	Maschinenmelken	0128
34	die Melkmaschine, n	la trayeuse électrique	True	Agriculture	01	0	die Melkmaschine	True	Melkmaschine	0129
35	das Handmelken	la traite à la main	True	Agriculture	01	0	das Handmelken	True	Handmelken	0130
36	die Milchkanne, n	le bidon	True	Agriculture	01	0	die Milchkanne	True	Milchkanne	0131
37	die Milch	le lait	True	Agriculture	01	0	die Milch	True	Milch	0132
38	die Käserei, en	la fromagerie	True	Agriculture	01	0	die Käserei	True	Käserei	0133
39	die Pferdezucht	l'élevage des chevaux	True	Agriculture	01	0	die Pferdezucht	True	Pferdezucht	0134
40	der Zuchthengst, e	l'étalon	True	Agriculture	01	0	der Zuchthengst	True	Zuchthengst	0135
41	das Beschälen ; beschälen	la monte ; couvrir/monter	True	Agriculture	01	0	das Beschälen	True	Beschälen	0136
42	die Zuchtstute, n	la poulinière	True	Agriculture	01	0	die Zuchtstute	True	Zuchtstute	0137
43	fohlen	pouliner	True	Agriculture	01	0		False		0138
44	das Gestüt, e	le haras	True	Agriculture	01	0	das Gestüt	True	Gestüt	0139
45	"der Pferdestall, ""@"	l'écurie	True	Agriculture	01	0	der Pferdestall	True	Pferdestall	0140
46	die Raufe, n	le ratelier	True	Agriculture	01	0	die Raufe	True	Raufe	0141
47	die Pferdeäpfel mp!	le crottin de cheval	True	Agriculture	01	0	die Pferdeäpfel	True	Pferdeäpfel	0142
48	das Hufeisen, -	le fer à cheval	True	Agriculture	01	0	das Hufeisen	True	Hufeisen	0143
49	ein Pferd beschlagen, u, a, ä	ferrer un cheval	True	Agriculture	01	0		False		0144
50	der Hufschmied, e	le maréchal-ferrant	True	Agriculture	01	0	der Hufschmied	True	Hufschmied	0145
51	der Zuchtesel, -	le baudet	True	Agriculture	01	0	der Zuchtesel	True	Zuchtesel	0146
52	der Pferdehändler, -	le maquignon	True	Agriculture	01	0	der Pferdehändler	True	Pferdehändler	0147
53	die Schweinezucht	l'élevage des porcins	True	Agriculture	01	0	die Schweinezucht	True	Schweinezucht	0148
54	der Schweinestall	la porcherie	True	Agriculture	01	0	der Schweinestall	True	Schweinestall	0149
55	der (Futter)trog, 'e	l'auge	True	Agriculture	01	0	der (Futter)trog	True	(Futter)trog	0150
56	die Schafzucht	l'élevage des ovins	True	Agriculture	01	0	die Schafzucht	True	Schafzucht	0151
57	der Schafstall	la bergerie	True	Agriculture	01	0	der Schafstall	True	Schafstall	0152
58	der Schäfer, -	le berger	True	Agriculture	01	0	der Schäfer	True	Schäfer	0153
59	das Vlies, &	la toison	True	Agriculture	01	0	das Vlies	True	Vlies	0154
0	die Geflügelzucht	l'aviculture	True	Agriculture	01	1	die Geflügelzucht	True	Geflügelzucht	0155
1	das Geflügel	la volaille	True	Agriculture	01	1	das Geflügel	True	Geflügel	0156
2	die Hühnerfarm, en	la ferme à poulets	True	Agriculture	01	1	die Hühnerfarm	True	Hühnerfarm	0157
3	die Hühnerhaltung	l'élevage de poulets	True	Agriculture	01	1	die Hühnerhaltung	True	Hühnerhaltung	0158
4	die Bodenhaltung	l'élevage sur litière	True	Agriculture	01	1	die Bodenhaltung	True	Bodenhaltung	0159
5	"der Hühnerstall, ""e ; der Scharraum, ""e"	le poulailler	True	Agriculture	01	1	der Hühnerstall	True	Hühnerstall	0160
6	die Freilandhaltung	l'élevage de plein air	True	Agriculture	01	1	die Freilandhaltung	True	Freilandhaltung	0161
7	"der Hühnerhof, ""e"	la basse-cour	True	Agriculture	01	1	der Hühnerhof	True	Hühnerhof	0162
8	"das Freilandhuhn, ""er"	le poulet élevé en plein air	True	Agriculture	01	1	das Freilandhuhn	True	Freilandhuhn	0163
9	das Kornmasthühnchen, -	le poulet de grain	True	Agriculture	01	1	das Kornmasthühnchen	True	Kornmasthühnchen	0164
10	das Batteriekuhn	le poulet de batterie	True	Agriculture	01	1	das Batteriekuhn	True	Batteriekuhn	0165
11	das Fleischhuhn	le poulet de chair	True	Agriculture	01	1	das Fleischhuhn	True	Fleischhuhn	0166
12	"der junge Hahn, ""e"	le coquelet	True	Agriculture	01	1		False		0167
13	das Masthuhn	la poularde	True	Agriculture	01	1	das Masthuhn	True	Masthuhn	0168
14	der Kapaun, e	le chapon	True	Agriculture	01	1	der Kapaun	True	Kapaun	0169
15	die Legehenne, n	la poule pondeuse	True	Agriculture	01	1	die Legehenne	True	Legehenne	0170
16	die Glucke, n	la poule couveuse	True	Agriculture	01	1	die Glucke	True	Glucke	0171
17	die Kükenbrutmaschine, n	la couveuse	True	Agriculture	01	1	die Kükenbrutmaschine	True	Kükenbrutmaschine	0172
18	die Eierproduktion	la production d'œufs	True	Agriculture	01	1	die Eierproduktion	True	Eierproduktion	0173
19	die Batteriehaltung, en	la batterie de ponte	True	Agriculture	01	1	die Batteriehaltung	True	Batteriehaltung	0174
20	die Eier durchleuchten	mirer les œufs	True	Agriculture	01	1	die Eier	True	Eier	0175
21	die Durchleuchtung	le mirage	True	Agriculture	01	1	die Durchleuchtung	True	Durchleuchtung	0176
22	die Klassensortierung	le calibrage	True	Agriculture	01	1	die Klassensortierung	True	Klassensortierung	0177
23	"der Taubenschlag, ""e"	le pigeonnier	True	Agriculture	01	1	der Taubenschlag	True	Taubenschlag	0178
24	"der Kaninchenstall, ""e"	le clapier	True	Agriculture	01	1	der Kaninchenstall	True	Kaninchenstall	0179
25	"das Schlachthaus, ""er"	l’abattoir	True	Agriculture	01	1	das Schlachthaus	True	Schlachthaus	0180
26	das Schlachttier, e	l'animal de boucherie	True	Agriculture	01	1	das Schlachttier	True	Schlachttier	0181
27	die Schlachtung, en	l'abattage	True	Agriculture	01	1	die Schlachtung	True	Schlachtung	0182
28	schlachten	abattre	True	Agriculture	01	1		False		0183
29	die Zerlegung	le découpage	True	Agriculture	01	1	die Zerlegung	True	Zerlegung	0184
30	das Entbeinen	le désossage	True	Agriculture	01	1	das Entbeinen	True	Entbeinen	0185
31	der Tierkörper, -	là carcasse	True	Agriculture	01	1	der Tierkörper	True	Tierkörper	0186
32	der enthäutete Tierkörper	la carcasse dépouillée	True	Agriculture	01	1		False		0187
33	das Tierkörperviertel, -	le quartier	True	Agriculture	01	1	das Tierkörperviertel	True	Tierkörperviertel	0188
34	die Innereien fol	les abats	True	Agriculture	01	1	die Innereien	True	Innereien	0189
35	der Abdecker, -	l'équarisseur	True	Agriculture	01	1	der Abdecker	True	Abdecker	0190
36	das Abdecken ; die Tierkörperbeseitigung	l'équarissage	True	Agriculture	01	1	"das Abdecken
die"	True	"Abdecken
die"	0191
37	die Fleischbeschau	l’inspection sanitaire	True	Agriculture	01	1	die Fleischbeschau	True	Fleischbeschau	0192
38	der Fleischbeschauer, -	l'inspecteur sanitaire	True	Agriculture	01	1	der Fleischbeschauer	True	Fleischbeschauer	0193
39	die Veterinärkontrollnummer, n	le numéro de contrôle vétérinaire	True	Agriculture	01	1	die Veterinärkontrollnummer	True	Veterinärkontrollnummer	0194
40	der Stempel, -	l’estampille	True	Agriculture	01	1	der Stempel	True	Stempel	0195
41	die Genusstauglichkeitsbescheinigung	l'attestation  de consommabilité	True	Agriculture	01	1	die Genusstauglichkeitsbescheinigung	True	Genusstauglichkeitsbescheinigung	0196
42	die Trichinenuntersuchung	le dépistage des trichines	True	Agriculture	01	1	die Trichinenuntersuchung	True	Trichinenuntersuchung	0197
43	der Zerlegungsbetrieb, e	l'établissement de découpage	True	Agriculture	01	1	der Zerlegungsbetrieb	True	Zerlegungsbetrieb	0198
44	"das Kühlhaus, ""er"	l'entrepôt frigorifique	True	Agriculture	01	1	das Kühlhaus	True	Kühlhaus	0199
45	die Gefriereinrichtung, en	l’entrepôt de congélation	True	Agriculture	01	1	die Gefriereinrichtung	True	Gefriereinrichtung	0200
46	der Fleischgroßhändler, -	le chevillard, le grossiste en viande 	True	Agriculture	01	1	der Fleischgroßhändler	True	Fleischgroßhändler	0201
47	die Bienenzucht	l'apiculture	True	Agriculture	01	1	die Bienenzucht	True	Bienenzucht	0202
48	der Imker, -	l'apiculteur	True	Agriculture	01	1	der Imker	True	Imker	0203
49	die Biene, n	l'abeille	True	Agriculture	01	1	die Biene	True	Biene	0204
50	das Bienenvolk	la ruchée	True	Agriculture	01	1	das Bienenvolk	True	Bienenvolk	0205
51	"das Bienenhaus, ""er"	le rucher	True	Agriculture	01	1	das Bienenhaus	True	Bienenhaus	0206
52	"der Bienenstock, ""e"	la ruche	True	Agriculture	01	1	der Bienenstock	True	Bienenstock	0207
53	"der Bienenkasten, """	la ruche en bois	True	Agriculture	01	1	der Bienenkasten	True	Bienenkasten	0208
54	die Wabe, n	le rayon de miel	True	Agriculture	01	1	die Wabe	True	Wabe	0209
55	die Zelle, n	l'alvéole	True	Agriculture	01	1	die Zelle	True	Zelle	0210
56	das Wachs, e	la cire	True	Agriculture	01	1	das Wachs	True	Wachs	0211
0	die Honigschleuder	l’extracteur centrifuge	True	Agriculture	02	0	die Honigschleuder	True	Honigschleuder	0212
1	der (Bienen)honig	le miel	True	Agriculture	02	0	der (Bienen)honig	True	(Bienen)honig	0213
2	der Wabenhonig/Scheibenhonig	le miel en rayon	True	Agriculture	02	0	"der Wabenhonig
der"	True	"Wabenhonig
der"	0214
3	der Tropfhonig	le miel d’égouttage	True	Agriculture	02	0	der Tropfhonig	True	Tropfhonig	0215
4	der Schleuderhonig	le miel de centrifugation	True	Agriculture	02	0	der Schleuderhonig	True	Schleuderhonig	0216
5	der Presshonig	le miel de pressurage	True	Agriculture	02	0	der Presshonig	True	Presshonig	0217
6	die landwirtschaftliche Erzeugung	la production agricole	True	Agriculture	02	0		False		0218
7	die intensive Bodenbewirtschaftung	la culture intensive	True	Agriculture	02	0		False		0219
8	der Massenanbau von Gemüse	la production massive de légumes	True	Agriculture	02	0		False		0220
9	die Agrarüberschüsse mpi	les surplus agricoles	True	Agriculture	02	0	die Agrarüberschüsse	True	Agrarüberschüsse	0221
10	die Anbaubeschränkung	la limitation des cultures	True	Agriculture	02	0	die Anbaubeschränkung	True	Anbaubeschränkung	0222
11	der biologische Landbau	l'agro-bio	True	Agriculture	02	0		False		0223
12	der Öko-Hof	la ferme écologique	True	Agriculture	02	0	der Öko-Hof	True	Öko-Hof	0224
13	das Bioprodukt, e	le produit biologique	True	Agriculture	02	0	das Bioprodukt	True	Bioprodukt	0225
14	die Umstellung der Landwirtschaft	la reconversion de l'agriculture	True	Agriculture	02	0		False		0226
15	die Flurzersplitterung	le morcellement des terres	True	Agriculture	02	0	die Flurzersplitterung	True	Flurzersplitterung	0227
16	die Flurbereinigung	le remembrement des terre	True	Agriculture	02	0	die Flurbereinigung	True	Flurbereinigung	0228
17	die Parzelle, n	la parcelle	True	Agriculture	02	0	die Parzelle	True	Parzelle	0229
18	der Großbetrieb, e	la grande exploitation	True	Agriculture	02	0	der Großbetrieb	True	Großbetrieb	0230
19	die Monokultur	la monoculture	True	Agriculture	02	0	die Monokultur	True	Monokultur	0231
20	der Anbau verschiedener Pflanzen	la polyculture	True	Agriculture	02	0		False		0232
21	die Bewässerung, en ; bewässern	l'irrigation # ; irriguer	True	Agriculture	02	0	die Bewässerung	True	Bewässerung	0233
22	die Entwässerung, en	le drainage	True	Agriculture	02	0	die Entwässerung	True	Entwässerung	0234
23	die Trockenlegung, en	l'assainissement	True	Agriculture	02	0	die Trockenlegung	True	Trockenlegung	0235
24	die Berieselung, en	l'arrosage	True	Agriculture	02	0	die Berieselung	True	Berieselung	0236
25	begießen, o, o, beregnen	arroser	True	Agriculture	02	0		False		0237
26	die Beregnungsanlage, n	le dispositif d'arrosage	True	Agriculture	02	0	die Beregnungsanlage	True	Beregnungsanlage	0238
27	der Rasensprenger, -	l’arroseur automatique	True	Agriculture	02	0	der Rasensprenger	True	Rasensprenger	0239
28	der Kreisregner, -	l'arroseur rotatif	True	Agriculture	02	0	der Kreisregner	True	Kreisregner	0240
29	die Gießkanne, n	l'arrosoir	True	Agriculture	02	0	die Gießkanne	True	Gießkanne	0241
30	die Schlauchhaspel, n	le dévidoir	True	Agriculture	02	0	die Schlauchhaspel	True	Schlauchhaspel	0242
31	die Motorpumpe, n	la motopompe	True	Agriculture	02	0	die Motorpumpe	True	Motorpumpe	0243
32	die Pumpe, n	la pompe	True	Agriculture	02	0	die Pumpe	True	Pumpe	0244
33	die (Gießkannen)brause, n	la pomme d'arrosage	True	Agriculture	02	0	die (Gießkannen)brause	True	(Gießkannen)brause	0245
34	der Brunnen, -	le puits	True	Agriculture	02	0	der Brunnen	True	Brunnen	0246
35	das Düsenschwenkrohr, &	la rampe d'arrosage	True	Agriculture	02	0	das Düsenschwenkrohr	True	Düsenschwenkrohr	0247
36	"der Gartenschlauch, ""e"	le tuyau d'arrosage	True	Agriculture	02	0	der Gartenschlauch	True	Gartenschlauch	0248
37	die Landmaschine, n	la machine agricole	True	Agriculture	02	0	die Landmaschine	True	Landmaschine	0249
38	die Rübenerntemaschine	l’arracheuse / de betteraves	True	Agriculture	02	0	die Rübenerntemaschine	True	Rübenerntemaschine	0250
39	die (Kartoffel)rodemaschine	l’arracheuse de pommes de terre	True	Agriculture	02	0	die (Kartoffel)rodemaschine	True	(Kartoffel)rodemaschine	0251
40	die Dreschmaschine	la batteuse	True	Agriculture	02	0	die Dreschmaschine	True	Dreschmaschine	0252
41	die Hackmaschine	la bineuse	True	Agriculture	02	0	die Hackmaschine	True	Hackmaschine	0253
42	die Lademaschine	le chargeur	True	Agriculture	02	0	die Lademaschine	True	Lademaschine	0254
43	"der Pflug, ""e"	la charrue	True	Agriculture	02	0	der Pflug	True	Pflug	0255
44	der Grubber, -	le cultivateur	True	Agriculture	02	0	der Grubber	True	Grubber	0256
45	der Furchenzieher, -	la silonneuse	True	Agriculture	02	0	der Furchenzieher	True	Furchenzieher	0257
46	der Häcksler, -	la hacheuse	True	Agriculture	02	0	der Häcksler	True	Häcksler	0258
47	die Egge,n	la herse	True	Agriculture	02	0	die Egge	True	Egge	0259
48	der Mähdrescher, -	la moissonneuse-batteuse	True	Agriculture	02	0	der Mähdrescher	True	Mähdrescher	0260
49	der Mähbinder, -	la moissonneuse-lieuse	True	Agriculture	02	0	der Mähbinder	True	Mähbinder	0261
50	der Düngerstreuer, -	lépandeur d'engrais	True	Agriculture	02	0	der Düngerstreuer	True	Düngerstreuer	0262
51	der Düngereinleger, -	l'enfouisseur d'engrais	True	Agriculture	02	0	der Düngereinleger	True	Düngereinleger	0263
