	Unnamed: 0	German_voc	deu_is_noun	French_voc	Aligned	Thème	Page	Rectangle	fra_is_noun
35	36.0	"der Bauernhof, ""e |"	True	la ferme	True	Agriculture	00	0	
36	37.0	der Pachthof |	True	la métairie	True	Agriculture	00	0	
37	38.0	"das Gut, ""er"	True	le domaine	True	Agriculture	00	0	
38	39.0	ein Gut bewirtschaften	False	exploiter un domaine	True	Agriculture	00	0	
39	40.0	die Nebengebäude no/ |	True	les dépendances ;	True	Agriculture	00	0	
40	41.0	der/das Futtersilo, s	True	le silo à fourrage	True	Agriculture	00	0	
41	42.0	das Silofutter	True	le fourrage ensilé	True	Agriculture	00	0	
42	43.0	die Einlagerung in Silos, die Silage	True	l’ensilage	True	Agriculture	00	0	
43	44.0	in Silos ein-lagern, silieren	False	ensiler	True	Agriculture	00	0	
44	45.0	die Scheune, n	True	la grange	True	Agriculture	00	0	
45	46.0	die Tenne, n	True	l’aire	True	Agriculture	00	0	
0	0.0	der Heuboden	True	le grenier à foin, le fenil	True	Agriculture	00	1	
1	1.0	der Schuppen	True	le hanga, la remise	True	Agriculture	00	1	
2	2.0	die Tierzucht	True	e la production animale, l'élevage	True	Agriculture	00	1	
3	3.0	der Viehzüchter, -	True	l’éleveur de hétail	True	Agriculture	00	1	
4	4.0	"der Tierarzt, ""e"	True	le vétérinaire	True	Agriculture	00	1	
5	5.0	die Tierpflege	True	les soins des animaux	True	Agriculture	00	1	
6	6.0	die Hormonbehandlung, en	True	le traitement hormonal	True	Agriculture	00	1	
7	7.0	die Maul- und Klauenseuche	True	la fièvre aphteuse	True	Agriculture	00	1	
8	8.0	der Rinderwahnsinn (BSE)	True	la maladie de la vache folle (ESB)	True	Agriculture	00	1	
9	9.0	die Schweinepest	True	la peste porcine	True	Agriculture	00	1	
10	10.0	die Schafseuche Scrapie	True	la tremblante du mouton	True	Agriculture	00	1	
11	11.0	die Notschlachtung, en	True	l'abattage forcé, d'urgence	True	Agriculture	00	1	
12	12.0	Viehzucht betreiben, ie, ie, Vieh züchten	False	faire de l'élevage, pratiquer l'élevage	True	Agriculture	00	1	
13	13.0	das Zuchttier, e	True	l'animal reproducteur	True	Agriculture	00	1	
14	14.0	ein Tier zur Zucht benutzen	False	utiliser un animal pour la reproduction	True	Agriculture	00	1	
15	15.0	eine Rasse veredeln	False	améliorer une race	True	Agriculture	00	1	
16	16.0	aus einer Kreuzung hervor-gehen*, , a	False	être issu d'un croisement	True	Agriculture	00	1	
17	17.0	(künstlich) besamen	False	inséminer tr	True	Agriculture	00	1	
18	18.0	die (künstliche) Besamung, en	True	l’insémination	True	Agriculture	00	1	
19	19.0	der Samen, -	True	le sperme	True	Agriculture	00	1	
20	20.0	brünstig sein	False	être en chaleur	True	Agriculture	00	1	
21	21.0	paaren	False	accoupler	True	Agriculture	00	1	
22	22.0	das Decken	True	la saillie	True	Agriculture	00	1	
23	23.0	begatten/decken	False	monter {une femelle)	True	Agriculture	00	1	
24	24.0	ein trächtiges Weibchen	False	une femelle pleine/grosse	True	Agriculture	00	1	
25	25.0	die Trächtigkeit(sdauer)	True	la gestation	True	Agriculture	00	1	
26	26.0	werfen, a, o, i/gebären, a, o	False	mettre bas/mettre au monde	True	Agriculture	00	1	
27	27.0	"der Wurf, ""@"	True	la parturition ; la portée	True	Agriculture	00	1	
28	28.0	das Vieh	True	le bétail, les bestiaux	True	Agriculture	00	1	
29	29.0	die Viehzucht	True	l'élevage	True	Agriculture	00	1	
30	30.0	"der Viehbestand, ""e"	True	le cheptel	True	Agriculture	00	1	
31	31.0	das lebende Vieh	True	le bétail sur pied	True	Agriculture	00	1	
32	32.0	das Großvieh	True	le gros bétail	True	Agriculture	00	1	
33	33.0	das Kleinvieh	True	le petit/menu bétail	True	Agriculture	00	1	
34	34.0	das Mastvieh	True	le bétail d’embouche, les animaux à l'engrais	True	Agriculture	00	1	
35	35.0	der Mastbetrieb, &	True	l'entreprise r d’engraissemer	True	Agriculture	00	1	
36	36.0	mästen	False	engraisser	True	Agriculture	00	1	
37	37.0	das Mästen	True	lengraissement	True	Agriculture	00	1	
38	38.0	die Fleischmast	True	l’engraissement pour la production de viande	True	Agriculture	00	1	
39	39.0	das Stallvieh	True	le bétail en stabulation	True	Agriculture	00	1	
40	40.0	die Massentierhaltung, die Batteriehaltung	True	l'élevage en batterie	True	Agriculture	00	1	
41	41.0	die Mastbox, en	True	le box d'engraissement	True	Agriculture	00	1	
42	42.0	"der Stall, ""e"	True	l'étable	True	Agriculture	00	1	
43	43.0	"der Anbindestall, ""e"	True	l'étable entravée	True	Agriculture	00	1	
44	44.0	die Futtermittel npr	True	les aliments pour le bétail	True	Agriculture	00	1	
45	45.0	der Futterbedarf	True	les besoins fourragers	True	Agriculture	00	1	
46	46.0	der Futtervorrat	True	les provisions fourragères	True	Agriculture	00	1	
47	47.0	das Futter	True	le fourrage	True	Agriculture	00	1	
48	48.0	der Futterkuchen	True	le tourteau	True	Agriculture	00	1	
0	0.0	das Fertigfutter	True	Jes aliments composés	True	Agriculture	01	0	False
1	1.0	das Kraftfutter	True	les aliments concentrés	True	Agriculture	01	0	True
2	2.0	das Tierkörpermehl	True	Ja farine animale	True	Agriculture	01	0	False
3	3.0	das Grünfutter	True	le fourrage vert	True	Agriculture	01	0	True
4	4.0	das Futterstroh	True	la paille fourragère	True	Agriculture	01	0	True
5	5.0	die Rinderzucht	True	l'élevage des bovins	True	Agriculture	01	0	False
6	6.0	"der Rindviehstall, der Kuhstall, ""e"	True	l'étable	True	Agriculture	01	0	True
7	7.0	der Zuchtbulle, n, n	True	le taureau étalon	True	Agriculture	01	0	False
8	8.0	die Kuh decken lassen, ie, a, ä	True	faire couvrir la vache	True	Agriculture	01	0	False
9	9.0	kalben	False	vêler	True	Agriculture	01	0	True
10	10.0	die Milchkuh	True	la vache laitière	True	Agriculture	01	0	True
11	11.0	"das Milchkalb, ""er"	True	le veau élevé sous la mère	True	Agriculture	01	0	False
12	12.0	das Absetzkalb	True	le veau sevré	True	Agriculture	01	0	True
13	13.0	das Mastkalb	True	le veau d'embouche, le broutard	True	Agriculture	01	0	True
14	14.0	das Batteriekalb	True	le veau de batterie	True	Agriculture	01	0	True
15	15.0	die Automatenfütterung	True	l'alimentation automatisée	True	Agriculture	01	0	True
16	16.0	die Futterkrippe, n	True	la mangeoire	True	Agriculture	01	0	True
17	17.0	die Tränke, n	True	l'abreuvoir	True	Agriculture	01	0	True
18	18.0	die Streu	True	la litière	True	Agriculture	01	0	False
19	19.0	der Kuhfladen, -	True	la bouse de vache	True	Agriculture	01	0	False
20	20.0	das Vieh füttern	True	donner à manger au bétail	True	Agriculture	01	0	False
21	21.0	saufen, 0, o, äu	False	boire, s'abreuver	True	Agriculture	01	0	False
22	22.0	die Kühe tränken	True	abreuver les vaches	True	Agriculture	01	0	False
23	23.0	fressen, a, e, |; Heu fressen	False	manger ; manger du foin	True	Agriculture	01	0	False
24	24.0	das Vieh auf die Weide treiben, ie, ie	True	mettre le bétail au pâturage	True	Agriculture	01	0	False
25	25.0	auf der Wiese weiden	False	paître/pâturer dans le pré	True	Agriculture	01	0	True
26	26.0	das Gras ab-weiden	True	brouter l'herbe	True	Agriculture	01	0	True
27	27.0	die Wandertierhaltung	True	la transhumance	True	Agriculture	01	0	False
28	28.0	das Weiderecht/Triftrecht	True	le droit de pacage/de vaine pâture	True	Agriculture	01	0	True
29	29.0	das Durchgangsrecht	True	le droit de passage du bétail	True	Agriculture	01	0	True
30	30.0	die Milcherzeugung	True	la production de lait	True	Agriculture	01	0	False
31	31.0	melken, o, o/faible	False	traire	True	Agriculture	01	0	True
32	32.0	"der Melkraum, ""@"	True	la salle de traite	True	Agriculture	01	0	True
33	33.0	das Maschinenmelken	True	la traite mécanique	True	Agriculture	01	0	True
34	34.0	die Melkmaschine, n	True	la trayeuse électrique	True	Agriculture	01	0	True
35	35.0	das Handmelken	True	la traite à la main	True	Agriculture	01	0	True
36	36.0	die Milchkanne, n	True	le bidon	True	Agriculture	01	0	True
37	37.0	die Milch	True	le lait	True	Agriculture	01	0	False
38	38.0	die Käserei, en	True	la fromagerie	True	Agriculture	01	0	True
39	39.0	die Pferdezucht	True	l'élevage des chevaux	True	Agriculture	01	0	False
40	40.0	der Zuchthengst, e	True	l'étalon	True	Agriculture	01	0	True
41	41.0	das Beschälen ; beschälen	True	la monte ; couvrir/monter	True	Agriculture	01	0	True
42	42.0	die Zuchtstute, n	True	la poulinière	True	Agriculture	01	0	False
43	43.0	fohlen	False	pouliner	True	Agriculture	01	0	True
44	44.0	das Gestüt, e	True	le haras	True	Agriculture	01	0	True
45	45.0	"der Pferdestall, ""@"	True	l'écurie	True	Agriculture	01	0	True
46	46.0	die Raufe, n	True	le ratelier	True	Agriculture	01	0	True
47	47.0	die Pferdeäpfel mp!	True	le crottin de cheval	True	Agriculture	01	0	False
48	48.0	das Hufeisen, -	True	le fer à cheval	True	Agriculture	01	0	True
49	49.0	ein Pferd beschlagen, u, a, ä	False	ferrer un cheval	True	Agriculture	01	0	True
50	50.0	der Hufschmied, e	True	le maréchal-ferrant	True	Agriculture	01	0	True
51	51.0	der Zuchtesel, -	True	le baudet	True	Agriculture	01	0	True
52	52.0	der Pferdehändler, -	True	le maquignon	True	Agriculture	01	0	True
53	53.0	die Schweinezucht	True	l'élevage des porcins	True	Agriculture	01	0	True
54	54.0	der Schweinestall	True	la porcherie	True	Agriculture	01	0	True
55	55.0	der (Futter)trog, 'e	True	l'auge	True	Agriculture	01	0	True
56	56.0	die Schafzucht	True	l'élevage des ovins	True	Agriculture	01	0	True
57	57.0	der Schafstall	True	la bergerie	True	Agriculture	01	0	False
58	58.0	der Schäfer, -	True	le berger	True	Agriculture	01	0	False
59	59.0	das Vlies, &	True	la toison	True	Agriculture	01	0	False
0	0.0	die Geflügelzucht	True	l'aviculture	True	Agriculture	01	1	False
1	1.0	das Geflügel	True	la volaille	True	Agriculture	01	1	True
2	2.0	die Hühnerfarm, en	True	la ferme à poulets	True	Agriculture	01	1	True
3	3.0	die Hühnerhaltung	True	l'élevage de poulets	True	Agriculture	01	1	True
4	4.0	die Bodenhaltung	True	l'élevage sur litière	True	Agriculture	01	1	True
5	5.0	"der Hühnerstall, ""e ; der Scharraum, ""e"	True	le poulailler	True	Agriculture	01	1	True
6	6.0	die Freilandhaltung	True	l'élevage de plein air	True	Agriculture	01	1	True
7	7.0	"der Hühnerhof, ""e"	True	la basse-cour	True	Agriculture	01	1	True
8	8.0	"das Freilandhuhn, ""er"	True	le poulet élevé en plein air	True	Agriculture	01	1	True
9	9.0	das Kornmasthühnchen, -	True	le poulet de grain	True	Agriculture	01	1	True
10	10.0	das Batteriekuhn	True	le poulet de batterie	True	Agriculture	01	1	True
11	11.0	das Fleischhuhn	True	le poulet de chair	True	Agriculture	01	1	True
12	12.0	"der junge Hahn, ""e"	True	le coquelet	True	Agriculture	01	1	True
13	13.0	das Masthuhn	True	la poularde	True	Agriculture	01	1	True
14	14.0	der Kapaun, e	True	le chapon	True	Agriculture	01	1	True
15	15.0	die Legehenne, n	True	la poule pondeuse	True	Agriculture	01	1	True
16	16.0	die Glucke, n	True	la poule couveuse	True	Agriculture	01	1	True
17	17.0	die Kükenbrutmaschine, n	True	la couveuse	True	Agriculture	01	1	True
18	18.0	die Eierproduktion	True	la production d'œufs	True	Agriculture	01	1	True
19	19.0	die Batteriehaltung, en	True	la batterie de ponte	True	Agriculture	01	1	False
20	20.0	die Eier durchleuchten	True	mirer les œufs	True	Agriculture	01	1	True
21	21.0	die Durchleuchtung	True	le mirage	True	Agriculture	01	1	True
22	22.0	die Klassensortierung	True	le calibrage	True	Agriculture	01	1	True
23	23.0	"der Taubenschlag, ""e"	True	le pigeonnier	True	Agriculture	01	1	True
24	24.0	"der Kaninchenstall, ""e"	True	le clapier	True	Agriculture	01	1	False
25	25.0	"das Schlachthaus, ""er"	True	l’abattoir	True	Agriculture	01	1	True
26	26.0	das Schlachttier, e	True	l'animal de boucherie	True	Agriculture	01	1	True
27	27.0	die Schlachtung, en	True	l'abattage	True	Agriculture	01	1	False
28	28.0	schlachten	True	abattre	True	Agriculture	01	1	True
29	29.0	die Zerlegung	False	le découpage	True	Agriculture	01	1	True
30	30.0	das Entbeinen	True	le désossage	True	Agriculture	01	1	False
31	31.0	der Tierkörper, -	True	là carcasse	True	Agriculture	01	1	True
32	32.0	der enthäutete Tierkörper	True	la carcasse dépouillée	True	Agriculture	01	1	True
33	33.0	das Tierkörperviertel, -	True	le quartier	True	Agriculture	01	1	True
34	34.0	die Innereien fol	True	les abats	True	Agriculture	01	1	True
35	35.0	der Abdecker, -	True	l'équarisseur	True	Agriculture	01	1	False
36	36.0	das Abdecken ; die Tierkörperbeseitigung	True	l'équarissage	True	Agriculture	01	1	True
37	37.0	die Fleischbeschau	True	l’inspection sanitaire	True	Agriculture	01	1	True
38	38.0	der Fleischbeschauer, -	True	l'inspecteur sanitaire	True	Agriculture	01	1	False
39	39.0	die Veterinärkontrollnummer, n	True	le numéro de contrôle vétérinaire	True	Agriculture	01	1	False
40	40.0	der Stempel, -	True	l’estampille	True	Agriculture	01	1	True
41	41.0	die Genusstauglichkeitsbescheinigung	True	l'attestation  de consommabilité	True	Agriculture	01	1	True
42	42.0	die Trichinenuntersuchung	True	le dépistage des trichines	True	Agriculture	01	1	True
43	43.0	der Zerlegungsbetrieb, e	True	l'établissement de découpage	True	Agriculture	01	1	True
44	44.0	"das Kühlhaus, ""er"	False	l'entrepôt frigorifique	True	Agriculture	01	1	False
45	45.0	die Gefriereinrichtung, en	True	l’entrepôt de congélation	True	Agriculture	01	1	True
46	46.0	der Fleischgroßhändler, -	True	le chevillard, le grossiste en viande 	True	Agriculture	01	1	False
47	47.0	die Bienenzucht	True	l'apiculture	True	Agriculture	01	1	False
48	48.0	der Imker, -	True	l'apiculteur	True	Agriculture	01	1	True
49	49.0	die Biene, n	True	l'abeille	True	Agriculture	01	1	True
50	50.0	das Bienenvolk	True	la ruchée	True	Agriculture	01	1	True
51	51.0	"das Bienenhaus, ""er"	True	le rucher	True	Agriculture	01	1	True
52	52.0	"der Bienenstock, ""e"	True	la ruche	True	Agriculture	01	1	True
53	53.0	"der Bienenkasten, """	True	la ruche en bois	True	Agriculture	01	1	True
54	54.0	die Wabe, n	True	le rayon de miel	True	Agriculture	01	1	False
55	55.0	die Zelle, n	True	l'alvéole	True	Agriculture	01	1	False
56	56.0	das Wachs, e	True	la cire	True	Agriculture	01	1	False
0		die Honigschleuder	True	l’extracteur centrifuge	True	Agriculture	02	0	
1		der (Bienen)honig	True	le miel	True	Agriculture	02	0	
2		der Wabenhonig/Scheibenhonig	True	le miel en rayon	True	Agriculture	02	0	
3		der Tropfhonig	True	le miel d’égouttage	True	Agriculture	02	0	
4		der Schleuderhonig	True	le miel de centrifugation	True	Agriculture	02	0	
5		der Presshonig	True	le miel de pressurage	True	Agriculture	02	0	
6	0.0	die landwirtschaftliche Erzeugung	False	la production agricole	True	Agriculture	02	0	False
7	1.0	die intensive Bodenbewirtschaftung	True	la culture intensive	True	Agriculture	02	0	True
8	2.0	der Massenanbau von Gemüse	True	la production massive de légumes	True	Agriculture	02	0	True
9	3.0	die Agrarüberschüsse mpi	True	les surplus agricoles	True	Agriculture	02	0	True
10	4.0	die Anbaubeschränkung	True	la limitation des cultures	True	Agriculture	02	0	True
11	5.0	der biologische Landbau	True	l'agro-bio	True	Agriculture	02	0	True
12	6.0	der Öko-Hof	True	la ferme écologique	True	Agriculture	02	0	True
13	7.0	das Bioprodukt, e	True	le produit biologique	True	Agriculture	02	0	True
14	8.0	die Umstellung der Landwirtschaft	True	la reconversion de l'agriculture	True	Agriculture	02	0	True
15	9.0	die Flurzersplitterung	True	le morcellement des terres	True	Agriculture	02	0	True
16	10.0	die Flurbereinigung	True	le remembrement des terre	True	Agriculture	02	0	True
17	11.0	die Parzelle, n	True	la parcelle	True	Agriculture	02	0	True
18	12.0	der Großbetrieb, e	True	la grande exploitation	True	Agriculture	02	0	True
19	13.0	die Monokultur	True	la monoculture	True	Agriculture	02	0	True
20	14.0	der Anbau verschiedener Pflanzen	True	la polyculture	True	Agriculture	02	0	True
21	15.0	die Bewässerung, en ; bewässern	True	l'irrigation # ; irriguer	True	Agriculture	02	0	True
22	16.0	die Entwässerung, en	True	le drainage	True	Agriculture	02	0	True
23	17.0	die Trockenlegung, en	True	l'assainissement	True	Agriculture	02	0	True
24	18.0	die Berieselung, en	True	l'arrosage	True	Agriculture	02	0	True
25	19.0	begießen, o, o, beregnen	True	arroser	True	Agriculture	02	0	False
26	20.0	die Beregnungsanlage, n	False	le dispositif d'arrosage	True	Agriculture	02	0	True
27	21.0	der Rasensprenger, -	True	l’arroseur automatique	True	Agriculture	02	0	False
28	22.0	der Kreisregner, -	True	l'arroseur rotatif	True	Agriculture	02	0	True
29	23.0	die Gießkanne, n	True	l'arrosoir	True	Agriculture	02	0	True
30	24.0	die Schlauchhaspel, n	True	le dévidoir	True	Agriculture	02	0	True
31	25.0	die Motorpumpe, n	True	la motopompe	True	Agriculture	02	0	True
32	26.0	die Pumpe, n	True	la pompe	True	Agriculture	02	0	True
33	27.0	die (Gießkannen)brause, n	True	la pomme d'arrosage	True	Agriculture	02	0	True
34	28.0	der Brunnen, -	True	le puits	True	Agriculture	02	0	True
35	29.0	das Düsenschwenkrohr, &	True	la rampe d'arrosage	True	Agriculture	02	0	True
36	30.0	"der Gartenschlauch, ""e"	True	le tuyau d'arrosage	True	Agriculture	02	0	True
37	31.0	die Landmaschine, n	True	la machine agricole	True	Agriculture	02	0	True
38	32.0	die Rübenerntemaschine	True	l’arracheuse / de betteraves	True	Agriculture	02	0	False
39	33.0	die (Kartoffel)rodemaschine	True	l’arracheuse de pommes de terre	True	Agriculture	02	0	False
40	34.0	die Dreschmaschine	True	la batteuse	True	Agriculture	02	0	True
41	35.0	die Hackmaschine	True	la bineuse	True	Agriculture	02	0	True
42	36.0	die Lademaschine	True	le chargeur	True	Agriculture	02	0	True
43	37.0	"der Pflug, ""e"	True	la charrue	True	Agriculture	02	0	True
44	38.0	der Grubber, -	True	le cultivateur	True	Agriculture	02	0	True
45	39.0	der Furchenzieher, -	True	la silonneuse	True	Agriculture	02	0	True
46	40.0	der Häcksler, -	True	la hacheuse	True	Agriculture	02	0	True
47	41.0	die Egge,n	True	la herse	True	Agriculture	02	0	True
48	42.0	der Mähdrescher, -	True	la moissonneuse-batteuse	True	Agriculture	02	0	True
49	43.0	der Mähbinder, -	True	la moissonneuse-lieuse	True	Agriculture	02	0	True
50	44.0	der Düngerstreuer, -	True	lépandeur d'engrais	True	Agriculture	02	0	False
51	45.0	der Düngereinleger, -	True	l'enfouisseur d'engrais	True	Agriculture	02	0	True
52	46.0	der Güllewerfer, -	True	l’épandeur de lisier	True	Agriculture	02	0	False
53	47.0	der Grasmäher, -	True	la faucheuse à herbe	True	Agriculture	02	0	True
54	48.0	der Heuwender, -	True	la faneuse	True	Agriculture	02	0	True
55	49.0	der Einachsschlepper, -, die Bodenfräse, n	True	le motoculteur	True	Agriculture	02	0	True
0	0.0	die Pflanzmaschine, n	True	la planteuse	True	Agriculture	02	1	True
1	1.0	die Strohpresss, n	True	la presse à paille	True	Agriculture	02	1	True
2	2.0	die Scheibenegge, n	True	le pulvérisateur à disques	True	Agriculture	02	1	True
3	3.0	der Wirbelwender, -	True	le roto-faneur	True	Agriculture	02	1	True
4	4.0	die Walze, n	True	le rouleau	True	Agriculture	02	1	True
5	5.0	die Sämaschine, n	True	le semoir	True	Agriculture	02	1	True
6	6.0	die Drillmaschine	True	le semoir en ligne	True	Agriculture	02	1	True
7	7.0	der Schlepper, -, der Traktor, en	True	le tracteur	True	Agriculture	02	1	True
8	8.0	ab-schleppen	False	remorquer	True	Agriculture	02	1	False
9	9.0	der Kippanhänger, -	True	la remorque basculante	True	Agriculture	02	1	True
10	10.0	der Jauchewagen, -	True	la remorque-tonneau à purin	True	Agriculture	02	1	True
11	11.0	der Kippkarren, -	True	ole tombereau	True	Agriculture	02	1	False
12	12.0	die Karrenladung, en	True	le tombereau	True	Agriculture	02	1	True
13	13.0	das Gespannfuhrwerk, e	True	le véhicule à traction animale	True	Agriculture	02	1	True
14	14.0	der Karren, -	True	la charrette	True	Agriculture	02	1	True
15	15.0	die Fuhre, n	True	la charretée	True	Agriculture	02	1	True
16	16.0	der Leiterwagen, -	True	le chariot à ridelles	True	Agriculture	02	1	True
17	17.0	die Deichsel, n	True	le timon	True	Agriculture	02	1	True
18	18.0	die Schere, n	True	le brancard	True	Agriculture	02	1	True
19	19.0	der Handwagen, -	True	la charrette à bras	True	Agriculture	02	1	True
20	20.0	das landwirtschaftliche Gerät, e	True	l'outil agricole	True	Agriculture	02	1	True
21	21.0	das Gartengerät, e	True	l'outil de jardinage	True	Agriculture	02	1	True
22	22.0	der Rasenlüfter, -	True	l’aérateur à gazon	True	Agriculture	02	1	False
23	23.0	der Gartenbesen, -	True	le balai à feuilles	True	Agriculture	02	1	True
24	24.0	der Spaten, -	True	la bêche	True	Agriculture	02	1	True
25	25.0	der Bügeljäter, -	True	la binette	True	Agriculture	02	1	True
26	26.0	die Jäthacke, n	True	la binette sarcleuse	True	Agriculture	02	1	True
27	27.0	der Schubkarren, -	True	la brouette	True	Agriculture	02	1	True
28	28.0	die Häufelhacke, n ; (an-)häufeln	True	le buttoir ; butter	True	Agriculture	02	1	True
29	29.0	die Baum-, die Heckenschere, n	True	la cisaille	True	Agriculture	02	1	True
30	30.0	die Richtschnur, '®	True	le cordeau	True	Agriculture	02	1	True
31	31.0	das Spargelmesser, -	True	le coupe-asperges	True	Agriculture	02	1	True
32	32.0	das Kopuliermesser, -	True	le couteau greffoir	True	Agriculture	02	1	True
33	33.0	die Astschere, n	True	l’élagueur 	True	Agriculture	02	1	False
34	34.0	die Sichel, n	True	la faucille	True	Agriculture	02	1	True
35	35.0	die Sense, n ; (ab-)mähen	True	la faux ; faucher	True	Agriculture	02	1	True
36	36.0	die Sense dengeln	True	battre/marteler la faux	True	Agriculture	02	1	False
37	37.0	der Dreschflegel, -	True	le fléau	True	Agriculture	02	1	True
38	38.0	die Grab(e)gabel, n	True	la fourche à bêcher	True	Agriculture	02	1	True
39	39.0	die Heugabel	True	la fourche à foin	True	Agriculture	02	1	True
40	40.0	die (Mist)gabel, n/die Forke, n	True	la fourche 	True	Agriculture	02	1	True
41	41.0	der Zinken, -	True	la dent 	True	Agriculture	02	1	True
42	42.0	der Dreizinkgrubber, -	True	la griffe à trois dents	True	Agriculture	02	1	True
43	43.0	die Egge, n ; eggen	True	la herse ; herser	True	Agriculture	02	1	True
44	44.0	die Schlaghacke, n	True	la houe	True	Agriculture	02	1	True
45	45.0	die Schaufel, n ; schaufeln	True	la pelle ; travailler à la pelle	True	Agriculture	02	1	True
46	46.0	die Hacke, n ; hacken	True	la pioche ; piocher	True	Agriculture	02	1	True
47	47.0	das Pflanzholz	True	le plantoir 	True	Agriculture	02	1	True
48	48.0	der Rechen, -/die Harke, n	True	le râteau	True	Agriculture	02	1	True
49	49.0	der Heurechen	True	le râteau à bras	True	Agriculture	02	1	True
50	50.0	das Harken ; harken	True	le ratissage ; ratisser	True	Agriculture	02	1	True
51	51.0	die Jäthacke, n ; jäten	True	le sarcloir ; sarcler	True	Agriculture	02	1	True
52	52.0	die Garten-, Rosenschere, n	True	le sécateur	True	Agriculture	02	1	True
53	53.0	die Sämaschine, n ;säen	True	le semoir ; semer	True	Agriculture	02	1	True
54	54.0	die Hippe, n	True	la serpe	True	Agriculture	02	1	True
55	55.0	das Gartenmesser, -	True	la serpette	True	Agriculture	02	1	True
56	56.0	der Handrasenmäher, -	True	la tondeuse à gazon mécanique	True	Agriculture	02	1	True
57	57.0	der elektrische Rasenmäher	True	la tondeuse électrique	True	Agriculture	02	1	False
58	58.0	der Motorrasenmäher	True	la tondeuse à moteur	True	Agriculture	02	1	True
59	59.0	die Pflanzkelle, n	True	le transplantoir	True	Agriculture	02	1	True
60	60.0	die Feldarbeit, en	True	les travaux des champs	True	Agriculture	02	1	True
0	0.0	der Anbau, die Bestellung	True	la culture	True	Agriculture	03	0	True
1	1.0	an-bauen, bebauen, bestellen	False	cultiver	True	Agriculture	03	0	False
2	2.0	"der Boden, """	True	le sol, la terre	True	Agriculture	03	0	True
3	3.0	ein anbaufähiger Boden	False	un sol cultivable	True	Agriculture	03	0	True
4	4.0	ein bebauter Boden	False	une terre cultivée	True	Agriculture	03	0	True
5	5.0	die Anbaufläche, n	True	la surface cultivée	True	Agriculture	03	0	True
