	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché
24	der Bauer, n, n ; die Bäuerin, nen	le paysan ; la paysanne	True	Agriculture	00	0	der Bauer	True	Bauer
25	der Bauernstand	la paysannerie	True	Agriculture	00	0	der Bauernstand	True	Bauernstand
26	der Nebenerwerbsbauer, n, n	le paysan-ouvrier ; le cultivateur à temps partiel	True	Agriculture	00	0	der Nebenerwerbsbauer	True	Nebenerwerbsbauer
27	der Pächter, -	le fermier, le métayer	True	Agriculture	00	0	der Pächter	True	Pächter
28	der Gutsherr, n, en, der Gutsbesitzer, -	le propriétaire terrien	True	Agriculture	00	0	der Gutsherr	True	Gutsherr
29	der Verwalter, -	le régisseur	True	Agriculture	00	0	der Verwalter	True	Verwalter
30	der Hinterwäldier, -	le campagnard	True	Agriculture	00	0	der Hinterwäldier	True	Hinterwäldier
31	der Kuhbauer, n (pej)	le bouseux	True	Agriculture	00	0	der Kuhbauer	True	Kuhbauer
32	der Bauerntölpel, -, der ungshobelte Mensch, en, en	le cul-terreux, le plouc/ le péquenaud	True	Agriculture	00	0	der Bauerntölpel	True	Bauerntölpel
33	bäurisch	rustre, grossier, paysan/ campagnard	True	Agriculture	00	0		False	
34	der landwirtschaftliche Betrieb, e	l'exploitation agricole	True	Agriculture	00	0		False	
35	"der Bauernhof, ""e |"	la ferme	True	Agriculture	00	0	der Bauernhof	True	Bauernhof
36	der Pachthof |	la métairie	True	Agriculture	00	0	der Pachthof	True	Pachthof
37	"das Gut, ""er"	le domaine	True	Agriculture	00	0	das Gut	True	Gut
38	ein Gut bewirtschaften	exploiter un domaine	True	Agriculture	00	0		False	
39	die Nebengebäude no/ |	les dépendances ;	True	Agriculture	00	0		False	
40	der/das Futtersilo, s	le silo à fourrage	True	Agriculture	00	0	der Futtersilo	True	Futtersilo
41	das Silofutter	le fourrage ensilé	True	Agriculture	00	0	das Silofutter	True	Silofutter
42	die Einlagerung in Silos, die Silage	l’ensilage	True	Agriculture	00	0		False	
43	in Silos ein-lagern, silieren	ensiler	True	Agriculture	00	0		False	
44	die Scheune, n	la grange	True	Agriculture	00	0	die Scheune	True	Scheune
45	die Tenne, n	l’aire	True	Agriculture	00	0	die Tenne	True	Tenne
0	der Heuboden	le grenier à foin, le fenil	True	Agriculture	00	1	der Heuboden	True	Heuboden
1	der Schuppen	le hanga, la remise	True	Agriculture	00	1	der Schuppen	True	Schuppen
2	die Tierzucht	e la production animale, l'élevage	True	Agriculture	00	1	die Tierzucht	True	Tierzucht
3	der Viehzüchter, -	l’éleveur de hétail	True	Agriculture	00	1	der Viehzüchter	True	Viehzüchter
4	"der Tierarzt, ""e"	le vétérinaire	True	Agriculture	00	1	der Tierarzt	True	Tierarzt
5	die Tierpflege	les soins des animaux	True	Agriculture	00	1	die Tierpflege	True	Tierpflege
6	die Hormonbehandlung, en	le traitement hormonal	True	Agriculture	00	1	die Hormonbehandlung	True	Hormonbehandlung
7	die Maul- und Klauenseuche	la fièvre aphteuse	True	Agriculture	00	1		False	
8	der Rinderwahnsinn (BSE)	la maladie de la vache folle (ESB)	True	Agriculture	00	1	der Rinderwahnsinn	True	Rinderwahnsinn
9	die Schweinepest	la peste porcine	True	Agriculture	00	1	die Schweinepest	True	Schweinepest
10	die Schafseuche Scrapie	la tremblante du mouton	True	Agriculture	00	1	die Schafseuche	True	Schafseuche
11	die Notschlachtung, en	l'abattage forcé, d'urgence	True	Agriculture	00	1	die Notschlachtung	True	Notschlachtung
12	Viehzucht betreiben, ie, ie, Vieh züchten	faire de l'élevage, pratiquer l'élevage	True	Agriculture	00	1		False	
13	das Zuchttier, e	l'animal reproducteur	True	Agriculture	00	1	das Zuchttier	True	Zuchttier
14	ein Tier zur Zucht benutzen	utiliser un animal pour la reproduction	True	Agriculture	00	1		False	
15	eine Rasse veredeln	améliorer une race	True	Agriculture	00	1		False	
16	aus einer Kreuzung hervor-gehen*, , a	être issu d'un croisement	True	Agriculture	00	1		False	
17	(künstlich) besamen	inséminer tr	True	Agriculture	00	1		False	
18	die (künstliche) Besamung, en	l’insémination	True	Agriculture	00	1	die (künstliche)	True	(künstliche)
19	der Samen, -	le sperme	True	Agriculture	00	1	der Samen	True	Samen
20	brünstig sein	être en chaleur	True	Agriculture	00	1		False	
21	paaren	accoupler	True	Agriculture	00	1		False	
22	das Decken	la saillie	True	Agriculture	00	1	das Decken	True	Decken
23	begatten/decken	monter {une femelle)	True	Agriculture	00	1		False	
24	ein trächtiges Weibchen	une femelle pleine/grosse	True	Agriculture	00	1		False	
25	die Trächtigkeit(sdauer)	la gestation	True	Agriculture	00	1	die Trächtigkeit(sdauer)	True	Trächtigkeit(sdauer)
26	werfen, a, o, i/gebären, a, o	mettre bas/mettre au monde	True	Agriculture	00	1		False	
27	"der Wurf, ""@"	la parturition ; la portée	True	Agriculture	00	1	der Wurf	True	Wurf
28	das Vieh	le bétail, les bestiaux	True	Agriculture	00	1	das Vieh	True	Vieh
29	die Viehzucht	l'élevage	True	Agriculture	00	1	die Viehzucht	True	Viehzucht
30	"der Viehbestand, ""e"	le cheptel	True	Agriculture	00	1	der Viehbestand	True	Viehbestand
31	das lebende Vieh	le bétail sur pied	True	Agriculture	00	1		False	
32	das Großvieh	le gros bétail	True	Agriculture	00	1	das Großvieh	True	Großvieh
33	das Kleinvieh	le petit/menu bétail	True	Agriculture	00	1	das Kleinvieh	True	Kleinvieh
34	das Mastvieh	le bétail d’embouche, les animaux à l'engrais	True	Agriculture	00	1	das Mastvieh	True	Mastvieh
35	der Mastbetrieb, &	l'entreprise r d’engraissemer	True	Agriculture	00	1	der Mastbetrieb	True	Mastbetrieb
36	mästen	engraisser	True	Agriculture	00	1		False	
37	das Mästen	lengraissement	True	Agriculture	00	1	das Mästen	True	Mästen
38	die Fleischmast	l’engraissement pour la production de viande	True	Agriculture	00	1	die Fleischmast	True	Fleischmast
39	das Stallvieh	le bétail en stabulation	True	Agriculture	00	1	das Stallvieh	True	Stallvieh
40	die Massentierhaltung, die Batteriehaltung	l'élevage en batterie	True	Agriculture	00	1	die Massentierhaltung	True	Massentierhaltung
41	die Mastbox, en	le box d'engraissement	True	Agriculture	00	1	die Mastbox	True	Mastbox
42	"der Stall, ""e"	l'étable	True	Agriculture	00	1	der Stall	True	Stall
43	"der Anbindestall, ""e"	l'étable entravée	True	Agriculture	00	1	der Anbindestall	True	Anbindestall
44	die Futtermittel npr	les aliments pour le bétail	True	Agriculture	00	1	die Futtermittel	True	Futtermittel
45	der Futterbedarf	les besoins fourragers	True	Agriculture	00	1	der Futterbedarf	True	Futterbedarf
46	der Futtervorrat	les provisions fourragères	True	Agriculture	00	1	der Futtervorrat	True	Futtervorrat
47	das Futter	le fourrage	True	Agriculture	00	1	das Futter	True	Futter
48	der Futterkuchen	le tourteau	True	Agriculture	00	1	der Futterkuchen	True	Futterkuchen
0	das Fertigfutter	Jes aliments composés	True	Agriculture	01	0	das Fertigfutter	True	Fertigfutter
1	das Kraftfutter	les aliments concentrés	True	Agriculture	01	0	das Kraftfutter	True	Kraftfutter
2	das Tierkörpermehl	Ja farine animale	True	Agriculture	01	0	das Tierkörpermehl	True	Tierkörpermehl
3	das Grünfutter	le fourrage vert	True	Agriculture	01	0	das Grünfutter	True	Grünfutter
4	das Futterstroh	la paille fourragère	True	Agriculture	01	0	das Futterstroh	True	Futterstroh
5	die Rinderzucht	l'élevage des bovins	True	Agriculture	01	0	die Rinderzucht	True	Rinderzucht
6	"der Rindviehstall, der Kuhstall, ""e"	l'étable	True	Agriculture	01	0	der Rindviehstall	True	Rindviehstall
7	der Zuchtbulle, n, n	le taureau étalon	True	Agriculture	01	0	der Zuchtbulle	True	Zuchtbulle
8	die Kuh decken lassen, ie, a, ä	faire couvrir la vache	True	Agriculture	01	0		False	
9	kalben	vêler	True	Agriculture	01	0		False	
10	die Milchkuh	la vache laitière	True	Agriculture	01	0	die Milchkuh	True	Milchkuh
11	"das Milchkalb, ""er"	le veau élevé sous la mère	True	Agriculture	01	0	das Milchkalb	True	Milchkalb
12	das Absetzkalb	le veau sevré	True	Agriculture	01	0	das Absetzkalb	True	Absetzkalb
13	das Mastkalb	le veau d'embouche, le broutard	True	Agriculture	01	0	das Mastkalb	True	Mastkalb
14	das Batteriekalb	le veau de batterie	True	Agriculture	01	0	das Batteriekalb	True	Batteriekalb
15	die Automatenfütterung	l'alimentation automatisée	True	Agriculture	01	0	die Automatenfütterung	True	Automatenfütterung
16	die Futterkrippe, n	la mangeoire	True	Agriculture	01	0	die Futterkrippe	True	Futterkrippe
17	die Tränke, n	l'abreuvoir	True	Agriculture	01	0	die Tränke	True	Tränke
18	die Streu	la litière	True	Agriculture	01	0	die Streu	True	Streu
19	der Kuhfladen, -	la bouse de vache	True	Agriculture	01	0	der Kuhfladen	True	Kuhfladen
20	das Vieh füttern	donner à manger au bétail	True	Agriculture	01	0	das Vieh	True	Vieh
21	saufen, 0, o, äu	boire, s'abreuver	True	Agriculture	01	0		False	
22	die Kühe tränken	abreuver les vaches	True	Agriculture	01	0	die Kühe	True	Kühe
23	fressen, a, e, |; Heu fressen	manger ; manger du foin	True	Agriculture	01	0		False	
24	das Vieh auf die Weide treiben, ie, ie	mettre le bétail au pâturage	True	Agriculture	01	0		False	
25	auf der Wiese weiden	paître/pâturer dans le pré	True	Agriculture	01	0		False	
26	das Gras ab-weiden	brouter l'herbe	True	Agriculture	01	0	das Gras	True	Gras
27	die Wandertierhaltung	la transhumance	True	Agriculture	01	0	die Wandertierhaltung	True	Wandertierhaltung
28	das Weiderecht/Triftrecht	le droit de pacage/de vaine pâture	True	Agriculture	01	0	"das Weiderecht
das"	True	"Weiderecht
das"
29	das Durchgangsrecht	le droit de passage du bétail	True	Agriculture	01	0	das Durchgangsrecht	True	Durchgangsrecht
30	die Milcherzeugung	la production de lait	True	Agriculture	01	0	die Milcherzeugung	True	Milcherzeugung
31	melken, o, o/faible	traire	True	Agriculture	01	0		False	
32	"der Melkraum, ""@"	la salle de traite	True	Agriculture	01	0	der Melkraum	True	Melkraum
33	das Maschinenmelken	la traite mécanique	True	Agriculture	01	0	das Maschinenmelken	True	Maschinenmelken
34	die Melkmaschine, n	la trayeuse électrique	True	Agriculture	01	0	die Melkmaschine	True	Melkmaschine
35	das Handmelken	la traite à la main	True	Agriculture	01	0	das Handmelken	True	Handmelken
36	die Milchkanne, n	le bidon	True	Agriculture	01	0	die Milchkanne	True	Milchkanne
37	die Milch	le lait	True	Agriculture	01	0	die Milch	True	Milch
38	die Käserei, en	la fromagerie	True	Agriculture	01	0	die Käserei	True	Käserei
39	die Pferdezucht	l'élevage des chevaux	True	Agriculture	01	0	die Pferdezucht	True	Pferdezucht
40	der Zuchthengst, e	l'étalon	True	Agriculture	01	0	der Zuchthengst	True	Zuchthengst
41	das Beschälen ; beschälen	la monte ; couvrir/monter	True	Agriculture	01	0	das Beschälen	True	Beschälen
42	die Zuchtstute, n	la poulinière	True	Agriculture	01	0	die Zuchtstute	True	Zuchtstute
43	fohlen	pouliner	True	Agriculture	01	0		False	
44	das Gestüt, e	le haras	True	Agriculture	01	0	das Gestüt	True	Gestüt
45	"der Pferdestall, ""@"	l'écurie	True	Agriculture	01	0	der Pferdestall	True	Pferdestall
46	die Raufe, n	le ratelier	True	Agriculture	01	0	die Raufe	True	Raufe
47	die Pferdeäpfel mp!	le crottin de cheval	True	Agriculture	01	0	die Pferdeäpfel	True	Pferdeäpfel
48	das Hufeisen, -	le fer à cheval	True	Agriculture	01	0	das Hufeisen	True	Hufeisen
49	ein Pferd beschlagen, u, a, ä	ferrer un cheval	True	Agriculture	01	0		False	
50	der Hufschmied, e	le maréchal-ferrant	True	Agriculture	01	0	der Hufschmied	True	Hufschmied
51	der Zuchtesel, -	le baudet	True	Agriculture	01	0	der Zuchtesel	True	Zuchtesel
52	der Pferdehändler, -	le maquignon	True	Agriculture	01	0	der Pferdehändler	True	Pferdehändler
53	die Schweinezucht	l'élevage des porcins	True	Agriculture	01	0	die Schweinezucht	True	Schweinezucht
54	der Schweinestall	la porcherie	True	Agriculture	01	0	der Schweinestall	True	Schweinestall
55	der (Futter)trog, 'e	l'auge	True	Agriculture	01	0	der (Futter)trog	True	(Futter)trog
56	die Schafzucht	l'élevage des ovins	True	Agriculture	01	0	die Schafzucht	True	Schafzucht
57	der Schafstall	la bergerie	True	Agriculture	01	0	der Schafstall	True	Schafstall
58	der Schäfer, -	le berger	True	Agriculture	01	0	der Schäfer	True	Schäfer
59	das Vlies, &	la toison	True	Agriculture	01	0	das Vlies	True	Vlies
0	die Geflügelzucht	l'aviculture	True	Agriculture	01	1	die Geflügelzucht	True	Geflügelzucht
1	das Geflügel	la volaille	True	Agriculture	01	1	das Geflügel	True	Geflügel
2	die Hühnerfarm, en	la ferme à poulets	True	Agriculture	01	1	die Hühnerfarm	True	Hühnerfarm
3	die Hühnerhaltung	l'élevage de poulets	True	Agriculture	01	1	die Hühnerhaltung	True	Hühnerhaltung
4	die Bodenhaltung	l'élevage sur litière	True	Agriculture	01	1	die Bodenhaltung	True	Bodenhaltung
5	"der Hühnerstall, ""e ; der Scharraum, ""e"	le poulailler	True	Agriculture	01	1	der Hühnerstall	True	Hühnerstall
6	die Freilandhaltung	l'élevage de plein air	True	Agriculture	01	1	die Freilandhaltung	True	Freilandhaltung
7	"der Hühnerhof, ""e"	la basse-cour	True	Agriculture	01	1	der Hühnerhof	True	Hühnerhof
8	"das Freilandhuhn, ""er"	le poulet élevé en plein air	True	Agriculture	01	1	das Freilandhuhn	True	Freilandhuhn
9	das Kornmasthühnchen, -	le poulet de grain	True	Agriculture	01	1	das Kornmasthühnchen	True	Kornmasthühnchen
10	das Batteriekuhn	le poulet de batterie	True	Agriculture	01	1	das Batteriekuhn	True	Batteriekuhn
11	das Fleischhuhn	le poulet de chair	True	Agriculture	01	1	das Fleischhuhn	True	Fleischhuhn
12	"der junge Hahn, ""e"	le coquelet	True	Agriculture	01	1		False	
13	das Masthuhn	la poularde	True	Agriculture	01	1	das Masthuhn	True	Masthuhn
14	der Kapaun, e	le chapon	True	Agriculture	01	1	der Kapaun	True	Kapaun
15	die Legehenne, n	la poule pondeuse	True	Agriculture	01	1	die Legehenne	True	Legehenne
16	die Glucke, n	la poule couveuse	True	Agriculture	01	1	die Glucke	True	Glucke
17	die Kükenbrutmaschine, n	la couveuse	True	Agriculture	01	1	die Kükenbrutmaschine	True	Kükenbrutmaschine
18	die Eierproduktion	la production d'œufs	True	Agriculture	01	1	die Eierproduktion	True	Eierproduktion
19	die Batteriehaltung, en	la batterie de ponte	True	Agriculture	01	1	die Batteriehaltung	True	Batteriehaltung
20	die Eier durchleuchten	mirer les œufs	True	Agriculture	01	1	die Eier	True	Eier
21	die Durchleuchtung	le mirage	True	Agriculture	01	1	die Durchleuchtung	True	Durchleuchtung
22	die Klassensortierung	le calibrage	True	Agriculture	01	1	die Klassensortierung	True	Klassensortierung
23	"der Taubenschlag, ""e"	le pigeonnier	True	Agriculture	01	1	der Taubenschlag	True	Taubenschlag
24	"der Kaninchenstall, ""e"	le clapier	True	Agriculture	01	1	der Kaninchenstall	True	Kaninchenstall
25	"das Schlachthaus, ""er"	l’abattoir	True	Agriculture	01	1	das Schlachthaus	True	Schlachthaus
26	das Schlachttier, e	l'animal de boucherie	True	Agriculture	01	1	das Schlachttier	True	Schlachttier
27	die Schlachtung, en	l'abattage	True	Agriculture	01	1	die Schlachtung	True	Schlachtung
28	schlachten	abattre	True	Agriculture	01	1		False	
29	die Zerlegung	le découpage	True	Agriculture	01	1	die Zerlegung	True	Zerlegung
30	das Entbeinen	le désossage	True	Agriculture	01	1	das Entbeinen	True	Entbeinen
31	der Tierkörper, -	là carcasse	True	Agriculture	01	1	der Tierkörper	True	Tierkörper
32	der enthäutete Tierkörper	la carcasse dépouillée	True	Agriculture	01	1		False	
33	das Tierkörperviertel, -	le quartier	True	Agriculture	01	1	das Tierkörperviertel	True	Tierkörperviertel
34	die Innereien fol	les abats	True	Agriculture	01	1	die Innereien	True	Innereien
35	der Abdecker, -	l'équarisseur	True	Agriculture	01	1	der Abdecker	True	Abdecker
36	das Abdecken ; die Tierkörperbeseitigung	l'équarissage	True	Agriculture	01	1	"das Abdecken
die"	True	"Abdecken
die"
37	die Fleischbeschau	l’inspection sanitaire	True	Agriculture	01	1	die Fleischbeschau	True	Fleischbeschau
38	der Fleischbeschauer, -	l'inspecteur sanitaire	True	Agriculture	01	1	der Fleischbeschauer	True	Fleischbeschauer
39	die Veterinärkontrollnummer, n	le numéro de contrôle vétérinaire	True	Agriculture	01	1	die Veterinärkontrollnummer	True	Veterinärkontrollnummer
40	der Stempel, -	l’estampille	True	Agriculture	01	1	der Stempel	True	Stempel
41	die Genusstauglichkeitsbescheinigung	l'attestation  de consommabilité	True	Agriculture	01	1	die Genusstauglichkeitsbescheinigung	True	Genusstauglichkeitsbescheinigung
42	die Trichinenuntersuchung	le dépistage des trichines	True	Agriculture	01	1	die Trichinenuntersuchung	True	Trichinenuntersuchung
43	der Zerlegungsbetrieb, e	l'établissement de découpage	True	Agriculture	01	1	der Zerlegungsbetrieb	True	Zerlegungsbetrieb
44	"das Kühlhaus, ""er"	l'entrepôt frigorifique	True	Agriculture	01	1	das Kühlhaus	True	Kühlhaus
45	die Gefriereinrichtung, en	l’entrepôt de congélation	True	Agriculture	01	1	die Gefriereinrichtung	True	Gefriereinrichtung
46	der Fleischgroßhändler, -	le chevillard, le grossiste en viande 	True	Agriculture	01	1	der Fleischgroßhändler	True	Fleischgroßhändler
47	die Bienenzucht	l'apiculture	True	Agriculture	01	1	die Bienenzucht	True	Bienenzucht
48	der Imker, -	l'apiculteur	True	Agriculture	01	1	der Imker	True	Imker
49	die Biene, n	l'abeille	True	Agriculture	01	1	die Biene	True	Biene
50	das Bienenvolk	la ruchée	True	Agriculture	01	1	das Bienenvolk	True	Bienenvolk
51	"das Bienenhaus, ""er"	le rucher	True	Agriculture	01	1	das Bienenhaus	True	Bienenhaus
52	"der Bienenstock, ""e"	la ruche	True	Agriculture	01	1	der Bienenstock	True	Bienenstock
53	"der Bienenkasten, """	la ruche en bois	True	Agriculture	01	1	der Bienenkasten	True	Bienenkasten
54	die Wabe, n	le rayon de miel	True	Agriculture	01	1	die Wabe	True	Wabe
55	die Zelle, n	l'alvéole	True	Agriculture	01	1	die Zelle	True	Zelle
56	das Wachs, e	la cire	True	Agriculture	01	1	das Wachs	True	Wachs
0	die Honigschleuder	l’extracteur centrifuge	True	Agriculture	02	0	die Honigschleuder	True	Honigschleuder
1	der (Bienen)honig	le miel	True	Agriculture	02	0	der (Bienen)honig	True	(Bienen)honig
2	der Wabenhonig/Scheibenhonig	le miel en rayon	True	Agriculture	02	0	"der Wabenhonig
der"	True	"Wabenhonig
der"
3	der Tropfhonig	le miel d’égouttage	True	Agriculture	02	0	der Tropfhonig	True	Tropfhonig
4	der Schleuderhonig	le miel de centrifugation	True	Agriculture	02	0	der Schleuderhonig	True	Schleuderhonig
5	der Presshonig	le miel de pressurage	True	Agriculture	02	0	der Presshonig	True	Presshonig
6	die landwirtschaftliche Erzeugung	la production agricole	True	Agriculture	02	0		False	
7	die intensive Bodenbewirtschaftung	la culture intensive	True	Agriculture	02	0		False	
8	der Massenanbau von Gemüse	la production massive de légumes	True	Agriculture	02	0		False	
9	die Agrarüberschüsse mpi	les surplus agricoles	True	Agriculture	02	0	die Agrarüberschüsse	True	Agrarüberschüsse
10	die Anbaubeschränkung	la limitation des cultures	True	Agriculture	02	0	die Anbaubeschränkung	True	Anbaubeschränkung
11	der biologische Landbau	l'agro-bio	True	Agriculture	02	0		False	
12	der Öko-Hof	la ferme écologique	True	Agriculture	02	0	der Öko-Hof	True	Öko-Hof
13	das Bioprodukt, e	le produit biologique	True	Agriculture	02	0	das Bioprodukt	True	Bioprodukt
14	die Umstellung der Landwirtschaft	la reconversion de l'agriculture	True	Agriculture	02	0		False	
15	die Flurzersplitterung	le morcellement des terres	True	Agriculture	02	0	die Flurzersplitterung	True	Flurzersplitterung
16	die Flurbereinigung	le remembrement des terre	True	Agriculture	02	0	die Flurbereinigung	True	Flurbereinigung
17	die Parzelle, n	la parcelle	True	Agriculture	02	0	die Parzelle	True	Parzelle
18	der Großbetrieb, e	la grande exploitation	True	Agriculture	02	0	der Großbetrieb	True	Großbetrieb
19	die Monokultur	la monoculture	True	Agriculture	02	0	die Monokultur	True	Monokultur
20	der Anbau verschiedener Pflanzen	la polyculture	True	Agriculture	02	0		False	
21	die Bewässerung, en ; bewässern	l'irrigation # ; irriguer	True	Agriculture	02	0	die Bewässerung	True	Bewässerung
22	die Entwässerung, en	le drainage	True	Agriculture	02	0	die Entwässerung	True	Entwässerung
23	die Trockenlegung, en	l'assainissement	True	Agriculture	02	0	die Trockenlegung	True	Trockenlegung
24	die Berieselung, en	l'arrosage	True	Agriculture	02	0	die Berieselung	True	Berieselung
25	begießen, o, o, beregnen	arroser	True	Agriculture	02	0		False	
26	die Beregnungsanlage, n	le dispositif d'arrosage	True	Agriculture	02	0	die Beregnungsanlage	True	Beregnungsanlage
27	der Rasensprenger, -	l’arroseur automatique	True	Agriculture	02	0	der Rasensprenger	True	Rasensprenger
28	der Kreisregner, -	l'arroseur rotatif	True	Agriculture	02	0	der Kreisregner	True	Kreisregner
29	die Gießkanne, n	l'arrosoir	True	Agriculture	02	0	die Gießkanne	True	Gießkanne
30	die Schlauchhaspel, n	le dévidoir	True	Agriculture	02	0	die Schlauchhaspel	True	Schlauchhaspel
31	die Motorpumpe, n	la motopompe	True	Agriculture	02	0	die Motorpumpe	True	Motorpumpe
32	die Pumpe, n	la pompe	True	Agriculture	02	0	die Pumpe	True	Pumpe
33	die (Gießkannen)brause, n	la pomme d'arrosage	True	Agriculture	02	0	die (Gießkannen)brause	True	(Gießkannen)brause
34	der Brunnen, -	le puits	True	Agriculture	02	0	der Brunnen	True	Brunnen
35	das Düsenschwenkrohr, &	la rampe d'arrosage	True	Agriculture	02	0	das Düsenschwenkrohr	True	Düsenschwenkrohr
36	"der Gartenschlauch, ""e"	le tuyau d'arrosage	True	Agriculture	02	0	der Gartenschlauch	True	Gartenschlauch
37	die Landmaschine, n	la machine agricole	True	Agriculture	02	0	die Landmaschine	True	Landmaschine
38	die Rübenerntemaschine	l’arracheuse / de betteraves	True	Agriculture	02	0	die Rübenerntemaschine	True	Rübenerntemaschine
39	die (Kartoffel)rodemaschine	l’arracheuse de pommes de terre	True	Agriculture	02	0	die (Kartoffel)rodemaschine	True	(Kartoffel)rodemaschine
40	die Dreschmaschine	la batteuse	True	Agriculture	02	0	die Dreschmaschine	True	Dreschmaschine
41	die Hackmaschine	la bineuse	True	Agriculture	02	0	die Hackmaschine	True	Hackmaschine
42	die Lademaschine	le chargeur	True	Agriculture	02	0	die Lademaschine	True	Lademaschine
43	"der Pflug, ""e"	la charrue	True	Agriculture	02	0	der Pflug	True	Pflug
44	der Grubber, -	le cultivateur	True	Agriculture	02	0	der Grubber	True	Grubber
45	der Furchenzieher, -	la silonneuse	True	Agriculture	02	0	der Furchenzieher	True	Furchenzieher
46	der Häcksler, -	la hacheuse	True	Agriculture	02	0	der Häcksler	True	Häcksler
47	die Egge,n	la herse	True	Agriculture	02	0	die Egge	True	Egge
48	der Mähdrescher, -	la moissonneuse-batteuse	True	Agriculture	02	0	der Mähdrescher	True	Mähdrescher
49	der Mähbinder, -	la moissonneuse-lieuse	True	Agriculture	02	0	der Mähbinder	True	Mähbinder
50	der Düngerstreuer, -	lépandeur d'engrais	True	Agriculture	02	0	der Düngerstreuer	True	Düngerstreuer
51	der Düngereinleger, -	l'enfouisseur d'engrais	True	Agriculture	02	0	der Düngereinleger	True	Düngereinleger
52	der Güllewerfer, -	l’épandeur de lisier	True	Agriculture	02	0	der Güllewerfer	True	Güllewerfer
53	der Grasmäher, -	la faucheuse à herbe	True	Agriculture	02	0	der Grasmäher	True	Grasmäher
54	der Heuwender, -	la faneuse	True	Agriculture	02	0	der Heuwender	True	Heuwender
55	der Einachsschlepper, -, die Bodenfräse, n	le motoculteur	True	Agriculture	02	0	der Einachsschlepper	True	Einachsschlepper
0	die Pflanzmaschine, n	la planteuse	True	Agriculture	02	1	die Pflanzmaschine	True	Pflanzmaschine
1	die Strohpresss, n	la presse à paille	True	Agriculture	02	1	die Strohpresss	True	Strohpresss
2	die Scheibenegge, n	le pulvérisateur à disques	True	Agriculture	02	1	die Scheibenegge	True	Scheibenegge
3	der Wirbelwender, -	le roto-faneur	True	Agriculture	02	1	der Wirbelwender	True	Wirbelwender
4	die Walze, n	le rouleau	True	Agriculture	02	1	die Walze	True	Walze
5	die Sämaschine, n	le semoir	True	Agriculture	02	1	die Sämaschine	True	Sämaschine
6	die Drillmaschine	le semoir en ligne	True	Agriculture	02	1	die Drillmaschine	True	Drillmaschine
7	der Schlepper, -, der Traktor, en	le tracteur	True	Agriculture	02	1	der Schlepper	True	Schlepper
8	ab-schleppen	remorquer	True	Agriculture	02	1		False	
9	der Kippanhänger, -	la remorque basculante	True	Agriculture	02	1	der Kippanhänger	True	Kippanhänger
10	der Jauchewagen, -	la remorque-tonneau à purin	True	Agriculture	02	1	der Jauchewagen	True	Jauchewagen
11	der Kippkarren, -	ole tombereau	True	Agriculture	02	1	der Kippkarren	True	Kippkarren
